skill_id,skill_name,category,current_maturity,decision,target_path,golden_path_binding,owner,review_date,notes
SKILL-001,admapix,skill,unknown,review,TBD,TBD,TBD,2026-04-08,需评估功能
SKILL-002,agent-browser-clawdbot,adapter,unknown,keep_core,platform/connectors/,GP-003,TBD,2026-04-08,浏览器自动化核心
SKILL-003,agent-chronicle,meta_tool,unknown,keep_supporting,core/admin/,TBD,TBD,2026-04-08,智能体编年史
SKILL-004,ai-picture-book,skill,unknown,freeze,TBD,TBD,TBD,2026-04-08,低使用，需评估
SKILL-005,ai-ppt-generator,skill,unknown,keep_core,skills/,GP-006,TBD,2026-04-08,PPT生成核心
SKILL-006,amazon-product-search-api-skill,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,亚马逊产品搜索
SKILL-007,ansible,skill,unknown,keep_core,skills/,GP-007,TBD,2026-04-08,DevOps核心
SKILL-008,api-gateway,meta_tool,unknown,keep_core,platform/admin/,GP-005,TBD,2026-04-08,API网关核心
SKILL-009,article-writer,skill,unknown,keep_core,skills/,GP-002-GP-006-GP-009,TBD,2026-04-08,写作核心
SKILL-010,audio-cog,processor,unknown,keep_supporting,intelligence/processors/,TBD,TBD,2026-04-08,音频处理
SKILL-011,auto-skill-upgrade,meta_tool,unknown,keep_core,platform/admin/,TBD,TBD,2026-04-08,技能升级核心
SKILL-012,baidu-netdisk-skills,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,百度网盘
SKILL-013,baidu-search,adapter,unknown,merge,platform/connectors/,TBD,TBD,2026-04-08,合并到cn-web-search
SKILL-014,beauty-generation-api,skill,unknown,freeze,TBD,TBD,TBD,2026-04-08,低使用，需评估
SKILL-015,beginner-mode,meta_tool,unknown,keep_core,core/admin/,GP-005,TBD,2026-04-08,新手引导核心
SKILL-016,best-minds,persona,unknown,keep_supporting,intelligence/personas/,TBD,TBD,2026-04-08,专家人格
SKILL-017,bilibili-all-in-one,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,B站集成
SKILL-018,bitsoul-stock-quantization,skill,unknown,freeze,TBD,TBD,TBD,2026-04-08,低使用，需评估
SKILL-019,calcom-cal.com-web-design-guidelines-1.0.2,skill,unknown,deprecate,TBD,TBD,TBD,2026-04-08,命名不规范，建议废弃
SKILL-020,camsnap,processor,unknown,keep_supporting,intelligence/processors/,TBD,TBD,2026-04-08,相机抓拍
SKILL-021,ceo-advisor,persona,unknown,keep_core,intelligence/personas/,TBD,TBD,2026-04-08,CEO顾问核心
SKILL-022,chart-image,processor,unknown,keep_core,intelligence/processors/,GP-010,TBD,2026-04-08,图表核心
SKILL-023,china-stock-analysis,skill,unknown,keep_core,skills/,GP-010,TBD,2026-04-08,股票分析核心
SKILL-024,clawdhub,meta_tool,unknown,keep_core,platform/admin/,TBD,TBD,2026-04-08,ClawHub核心
SKILL-025,clawhub-skill-install,meta_tool,unknown,merge,platform/admin/,TBD,TBD,2026-04-08,合并到skill-install-manager
SKILL-026,clawsec-suite,meta_tool,unknown,keep_core,platform/admin/,GP-004,TBD,2026-04-08,安全套件核心
SKILL-027,cn-web-search,skill,unknown,keep_core,skills/,GP-003,TBD,2026-04-08,中文搜索核心
SKILL-028,code-analysis-skills,skill,unknown,keep_core,skills/,GP-008,TBD,2026-04-08,代码分析核心
SKILL-029,command-center,meta_tool,unknown,keep_core,core/admin/,TBD,TBD,2026-04-08,命令中心核心
SKILL-030,copywriter,skill,unknown,keep_core,skills/,TBD,TBD,2026-04-08,文案核心
SKILL-031,cron,skill,unknown,keep_core,skills/,TBD,TBD,2026-04-08,定时任务核心
SKILL-032,crypto,skill,unknown,keep_supporting,skills/,TBD,TBD,2026-04-08,加密货币
SKILL-033,data-analysis,skill,unknown,keep_core,skills/,GP-010,TBD,2026-04-08,数据分析核心
SKILL-034,deep-search-and-insight-synthesize,skill,unknown,keep_core,skills/,GP-003,TBD,2026-04-08,深度搜索核心
SKILL-035,deepread-ocr,processor,unknown,merge,intelligence/processors/,TBD,TBD,2026-04-08,合并到ocr-local
SKILL-036,dingtalk-ai-table,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,钉钉集成
SKILL-037,discord,adapter,unknown,keep_supporting,platform/connectors/,GP-004,TBD,2026-04-08,Discord集成
SKILL-038,docker,skill,unknown,keep_core,skills/,GP-007,TBD,2026-04-08,Docker核心
SKILL-039,docs-cog,processor,unknown,keep_core,intelligence/processors/,GP-002-GP-006-GP-009,TBD,2026-04-08,文档认知核心
SKILL-040,docx,processor,unknown,keep_core,intelligence/processors/,GP-006,TBD,2026-04-08,Word处理核心
SKILL-041,eastmoney-fin-search,adapter,unknown,merge,platform/connectors/,TBD,TBD,2026-04-08,合并到tushare-data
SKILL-042,elasticsearch,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,ES集成
